date,time,tank,temp.C,pH.mV,sal.psu,flow.mL.5s.initial,flow.mL.5s.final,par.center,par.q1,par.q2,par.q3,par.q4,tris.date,notes
10/3/22,14:49,3,27.65,-56.3,38.14,375,375,100,92,75,80,105,20220924,cloudy/rainy conditions during measurements; measurements taken after cleaning
10/3/22,14:50,4,27.64,-56.3,38.15,375,375,80,91,60,102,106,20220924,cloudy/rainy conditions during measurements; measurements taken after cleaning
10/3/22,14:51,5,27.62,-56.4,38.16,375,375,60,72,65,81,82,20220924,cloudy/rainy conditions during measurements; measurements taken after cleaning
10/3/22,14:52,6,27.63,-56.5,38.15,375,375,72,109,60,94,71,20220924,cloudy/rainy conditions during measurements; measurements taken after cleaning
10/4/22,12:39,1,27.36,-55.9,38.07,375,375,144,143,125,138,124,20220924,cloudy conditions
10/4/22,12:41,2,27.33,-55.9,38.07,225,350,155,144,133,142,130,20220924,cloudy conditions
10/4/22,12:43,3,27.31,-56.1,38.09,325,325,141,110,128,119,104,20220924,cloudy conditions
10/4/22,12:45,4,27.32,-56.1,38.09,325,325,121,107,112,115,104,20220924,cloudy conditions
10/4/22,12:47,5,27.28,-56.2,38.08,350,350,106,95,92,104,104,20220924,cloudy conditions
10/4/22,12:51,6,27.32,-56.2,38.07,425,375,141,132,127,119,124,20220924,cloudy conditions
10/5/22,12:20,1,27.51,-55.8,38.08,375,375,453,458,404,420,397,20220924,
10/5/22,12:21,2,27.52,-55.9,38.08,425,375,464,418,458,390,411,20220924,
10/5/22,12:22,3,27.51,-56.2,38.09,325,325,392,356,399,402,376,20220924,
10/5/22,12:23,4,27.48,-56.2,38.11,350,350,459,363,360,391,401,20220924,
10/5/22,12:24,5,27.47,56.3,38.11,350,350,414,439,417,380,450,20220924,
10/5/22,12:25,6,27.51,-56.2,38.12,300,375,457,410,439,404,410,20220924,
10/6/22,10:40,1,27.95,-56.3,38.08,325,350,496,425,399,374,388,20220924,
10/6/22,10:45,2,27.38,-55.9,38.06,325,350,555,598,431,584,476,20220924,
10/6/22,10:42,3,27.32,-56.3,38.1,325,325,538,545,432,525,499,20220924,
10/6/22,10:46,4,27.3,-56.3,38.1,275,325,540,496,481,497,491,20220924,
10/6/22,10:45,5,27.29,-56.4,38.08,325,325,457,379,401,430,410,20220924,
10/6/22,10:41,6,27.34,-56.2,38.07,300,350,497,467,472,446,455,20220924,
10/7/22,14:06,1,27.38,-55.9,38.16,400,375,146,124,87,142,160,20220924,cloudy conditions; noticed lower light in tanks farther away from the edge of the shade structure
10/7/22,14:07,2,27.38,-56.1,38.17,400,400,160,178,123,155,132,20220924,cloudy conditions; noticed lower light in tanks farther away from the edge of the shade structure
10/7/22,14:08,3,27.34,-55.5,38.19,350,350,170,180,144,160,133,20220924,cloudy conditions; noticed lower light in tanks farther away from the edge of the shade structure
10/7/22,14:09,4,27.34,-56.2,38.18,350,400,130,122,150,161,105,20220924,cloudy conditions; noticed lower light in tanks farther away from the edge of the shade structure
10/7/22,14:10,5,27.33,-56.1,38.19,400,375,113,101,196,175,112,20220924,cloudy conditions; noticed lower light in tanks farther away from the edge of the shade structure
10/7/22,14:11,6,27.38,-56.2,38.18,400,375,150,98,187,188,171,20220924,cloudy conditions; noticed lower light in tanks farther away from the edge of the shade structure
10/9/22,16:08,1,27.41,-56.4,38.16,325,375,26,60,25,52,30,20220924,"Cloudy, afternoon low light"
10/9/22,16:09,2,27.4,-56.4,38.18,425,325,40,33,77,38,45,20220924,"Cloudy, afternoon low light"
10/9/22,16:10,3,27.4,-56.4,38.19,325,350,32,25,43,36,66,20220924,"Cloudy, afternoon low light"
10/9/22,16:11,4,27.36,-56.4,38.2,325,350,19,46,27,74,23,20220924,"Cloudy, afternoon low light"
10/9/22,16:12,5,27.4,-56.3,38.19,425,325,31,19,60,20,29,20220924,"Cloudy, afternoon low light"
10/9/22,16:13,6,27.41,-56.4,38.19,375,375,44,22,55,30,41,20220924,"Cloudy, afternoon low light"
10/10/22,10:30,1,27.38,-56.2,38.14,350,350,153,168,155,178,139,20220924,"Passing clouds, variable light"
10/10/22,10:31,2,27.4,-56.5,38.13,325,325,463,566,490,545,474,20220924,"Passing clouds, variable light"
10/10/22,10:32,3,27.34,-56.6,38.14,325,325,169,135,144,158,129,20220924,"Passing clouds, variable light"
10/10/22,10:33,4,27.34,-56.3,38.15,335,335,160,142,149,130,141,20220924,"Passing clouds, variable light"
10/10/22,10:35,5,27.31,-56.3,38.14,375,375,150,140,157,365,280,20220924,"Passing clouds, variable light"
10/10/22,10:36,6,27.36,-56.5,38.2,375,375,470,453,440,397,329,20220924,"Passing clouds, variable light"
10/11/22,15:00,1,27.45,-57.1,38.16,350,350,241,255,244,255,241,20220924,After cleaning
10/11/22,15:01,2,27.45,-57.1,38.16,500,375,312,307,330,309,260,20220924,After cleaning
10/11/22,15:02,3,27.43,-57.1,38.17,400,375,286,291,312,296,251,20220924,After cleaning
10/11/22,15:03,4,27.49,-57,38.19,350,350,212,207,235,241,197,20220924,After cleaning
10/11/22,15:04,5,27.43,-56.9,38.21,400,375,300,294,311,299,283,20220924,After cleaning
10/11/22,15:05,6,27.45,-57.1,38.17,400,375,270,278,274,270,245,20220924,After cleaning
